Order Date,City,Category
3/2/2015,Seattle,Furniture
4/5/2015,Bristol,Office Supplies
6/12/2016,Wilmington,Furniture
6/12/2016,Wilmington,Office Supplies
6/12/2016,Wilmington,Office Supplies
6/12/2016,Wilmington,Office Supplies
6/12/2016,Wilmington,Technology
12/26/2014,Houston,Furniture
9/20/2014,Bloomington,Furniture
11/5/2017,Phoenix,Office Supplies
11/5/2017,Phoenix,Office Supplies
11/6/2016,Los Angeles,Furniture
11/6/2016,Los Angeles,Furniture
2/2/2017,Columbus,Technology
2/2/2017,Columbus,Office Supplies
2/2/2017,Columbus,Office Supplies
10/13/2016,Roseville,Office Supplies
10/13/2016,Roseville,Office Supplies
10/13/2016,Roseville,Office Supplies
10/13/2016,Roseville,Office Supplies
10/13/2016,Roseville,Office Supplies
10/13/2016,Roseville,Office Supplies
10/13/2016,Roseville,Furniture
9/5/2016,Philadelphia,Furniture
9/18/2017,San Francisco,Office Supplies
9/18/2017,San Francisco,Office Supplies
9/18/2017,San Francisco,Office Supplies
12/22/2017,Independence,Office Supplies
9/7/2015,Pasadena,Office Supplies
10/22/2014,Newark,Furniture
12/5/2016,Franklin,Technology
12/5/2016,Franklin,Technology
12/5/2016,Franklin,Furniture
12/5/2016,Franklin,Office Supplies
3/13/2016,Scottsdale,Office Supplies
3/13/2016,Scottsdale,Technology
5/31/2015,San Jose,Office Supplies
5/31/2015,San Jose,Office Supplies
5/31/2015,San Jose,Office Supplies
5/28/2015,Seattle,Office Supplies
3/1/2014,Seattle,Furniture
11/20/2016,Edmond,Office Supplies
11/20/2016,Edmond,Technology
5/11/2016,Los Angeles,Office Supplies
12/28/2015,Philadelphia,Technology
11/16/2016,Carlsbad,Office Supplies
11/7/2016,Seattle,Office Supplies
9/8/2014,San Antonio,Office Supplies
9/8/2014,San Antonio,Technology
9/8/2014,San Antonio,Office Supplies
9/8/2014,San Antonio,Furniture
9/8/2014,San Antonio,Office Supplies
9/8/2014,San Antonio,Office Supplies
9/8/2014,San Antonio,Technology
8/5/2014,Los Angeles,Office Supplies
8/5/2014,Los Angeles,Office Supplies
8/5/2014,Los Angeles,Furniture
9/14/2014,Chicago,Office Supplies
9/14/2014,Chicago,Office Supplies
4/21/2017,Houston,Office Supplies
11/21/2015,Newark,Furniture
11/21/2015,Newark,Office Supplies
12/15/2015,New York City,Office Supplies
12/5/2014,Decatur,Office Supplies
12/5/2014,Decatur,Technology
11/19/2014,Monroe,Technology
11/19/2014,Monroe,Technology
11/19/2014,Monroe,Technology
11/28/2016,Fairfield,Office Supplies
8/26/2014,Los Angeles,Technology
7/16/2016,Grand Prairie,Office Supplies
7/16/2016,Grand Prairie,Office Supplies
10/12/2015,New York City,Furniture
10/12/2015,New York City,Technology
10/12/2015,New York City,Office Supplies
10/12/2015,New York City,Furniture
10/12/2015,New York City,Office Supplies
10/31/2015,Redlands,Office Supplies
3/21/2014,Hamilton,Office Supplies
3/21/2014,Hamilton,Office Supplies
11/6/2017,Westfield,Office Supplies
7/6/2017,Philadelphia,Office Supplies
7/6/2017,Philadelphia,Office Supplies
6/24/2017,Akron,Office Supplies
8/3/2014,Denver,Furniture
8/3/2014,Denver,Office Supplies
12/17/2017,Dallas,Office Supplies
6/3/2017,Franklin,Furniture
12/9/2017,Whittier,Technology
12/1/2017,Saginaw,Office Supplies
12/1/2017,Saginaw,Technology
12/1/2017,Saginaw,Office Supplies
12/1/2017,Saginaw,Office Supplies
12/1/2017,Saginaw,Office Supplies
2/9/2015,Dallas,Technology
1/2/2015,Medina,Office Supplies
1/2/2015,Medina,Furniture
1/2/2015,Medina,Technology
1/2/2015,Medina,Technology
1/2/2015,Medina,Technology
10/28/2016,Los Angeles,Office Supplies
10/28/2016,Los Angeles,Technology
12/24/2015,Dublin,Office Supplies
12/24/2015,Dublin,Office Supplies
12/24/2015,Dublin,Office Supplies
12/24/2015,Dublin,Furniture
12/24/2015,Dublin,Technology
12/24/2015,Dublin,Office Supplies
8/9/2015,Detroit,Office Supplies
8/9/2015,Detroit,Furniture
8/9/2015,Detroit,Office Supplies
2/28/2015,Columbia,Furniture
2/28/2015,Columbia,Furniture
9/13/2014,Charlotte,Office Supplies
4/7/2017,Tampa,Furniture
4/7/2017,Tampa,Furniture
4/7/2017,Tampa,Office Supplies
4/7/2017,Tampa,Furniture
4/7/2017,Tampa,Technology
11/12/2017,Santa Clara,Office Supplies
6/4/2016,Chicago,Office Supplies
6/4/2016,Chicago,Furniture
6/4/2016,Chicago,Furniture
6/4/2016,Chicago,Technology
6/4/2016,Chicago,Furniture
6/4/2016,Chicago,Furniture
6/4/2016,Chicago,Office Supplies
6/1/2014,Lakeville,Furniture
6/1/2014,Lakeville,Office Supplies
6/1/2014,Lakeville,Office Supplies
6/1/2014,Lakeville,Office Supplies
6/1/2014,Lakeville,Office Supplies
12/10/2016,San Francisco,Furniture
9/11/2016,San Diego,Office Supplies
9/11/2016,San Diego,Technology
12/10/2016,New York City,Office Supplies
12/10/2016,New York City,Office Supplies
11/28/2015,Chicago,Furniture
11/28/2015,Chicago,Office Supplies
11/28/2015,Chicago,Office Supplies
11/28/2015,Chicago,Technology
12/1/2017,New York City,Technology
12/1/2017,New York City,Office Supplies
12/1/2017,New York City,Office Supplies
6/8/2017,Pasadena,Office Supplies
9/19/2014,Houston,Technology
9/19/2014,Houston,Technology
6/6/2016,Chicago,Technology
11/10/2015,Brentwood,Technology
6/16/2017,Chapel Hill,Office Supplies
1/22/2016,Morristown,Office Supplies
12/9/2017,Cincinnati,Office Supplies
12/9/2017,Cincinnati,Office Supplies
12/28/2017,San Francisco,Office Supplies
7/30/2015,San Francisco,Technology
7/30/2015,San Francisco,Furniture
7/30/2015,San Francisco,Office Supplies
9/16/2017,Inglewood,Office Supplies
9/16/2017,Inglewood,Office Supplies
10/13/2017,Philadelphia,Office Supplies
10/13/2017,Philadelphia,Office Supplies
10/13/2017,Philadelphia,Office Supplies
10/13/2017,Philadelphia,Office Supplies
9/26/2015,Houston,Office Supplies
9/26/2015,Houston,Technology
11/2/2015,Los Angeles,Furniture
9/26/2015,Portland,Office Supplies
9/26/2015,Portland,Technology
9/26/2015,Portland,Office Supplies
12/18/2016,Tamarac,Office Supplies
12/18/2016,Tamarac,Office Supplies
12/18/2016,Tamarac,Office Supplies
11/20/2016,Columbus,Office Supplies
11/20/2016,Columbus,Office Supplies
11/20/2016,Columbus,Technology
11/20/2016,Columbus,Furniture
12/26/2014,Colorado Springs,Furniture
12/26/2014,Colorado Springs,Furniture
12/26/2014,Colorado Springs,Furniture
12/26/2014,Colorado Springs,Office Supplies
12/26/2014,Colorado Springs,Office Supplies
10/28/2016,Belleville,Office Supplies
10/28/2016,Belleville,Office Supplies
10/28/2016,Belleville,Office Supplies
10/28/2016,Belleville,Furniture
10/28/2016,Belleville,Office Supplies
11/19/2017,Chicago,Furniture
5/4/2015,New York City,Furniture
12/30/2014,Taylor,Office Supplies
6/1/2014,Lakewood,Office Supplies
6/1/2014,Lakewood,Office Supplies
4/15/2017,Arlington,Office Supplies
9/12/2016,Arvada,Furniture
9/12/2016,Arvada,Furniture
9/12/2016,Arvada,Furniture
9/12/2016,Arvada,Office Supplies
9/27/2014,Hackensack,Furniture
8/9/2014,Saint Petersburg,Technology
8/9/2014,Saint Petersburg,Office Supplies
12/28/2014,Philadelphia,Office Supplies
11/4/2014,New York City,Furniture
11/4/2014,New York City,Technology
11/4/2014,New York City,Technology
11/4/2014,New York City,Technology
11/4/2014,New York City,Office Supplies
9/19/2014,Long Beach,Office Supplies
4/23/2016,Hesperia,Office Supplies
4/23/2016,Hesperia,Technology
11/3/2017,Murfreesboro,Furniture
8/30/2016,Philadelphia,Technology
8/30/2016,Philadelphia,Office Supplies
8/30/2016,Philadelphia,Furniture
8/30/2016,Philadelphia,Office Supplies
8/30/2016,Philadelphia,Office Supplies
4/25/2016,Philadelphia,Technology
4/25/2016,Philadelphia,Office Supplies
4/25/2016,Philadelphia,Office Supplies
9/1/2015,Los Angeles,Office Supplies
9/1/2015,Los Angeles,Technology
9/1/2015,Los Angeles,Office Supplies
7/12/2014,San Francisco,Office Supplies
7/12/2014,San Francisco,Furniture
6/22/2015,Layton,Office Supplies
4/13/2014,Philadelphia,Office Supplies
4/13/2014,Philadelphia,Office Supplies
4/13/2014,Philadelphia,Office Supplies
4/13/2014,Philadelphia,Technology
12/20/2015,Austin,Office Supplies
6/15/2017,San Francisco,Technology
7/8/2017,Lowell,Office Supplies
7/8/2017,Lowell,Office Supplies
7/8/2017,Lowell,Office Supplies
9/1/2016,New York City,Technology
9/1/2016,New York City,Office Supplies
9/1/2016,New York City,Office Supplies
9/1/2016,New York City,Office Supplies
9/1/2016,New York City,Office Supplies
4/8/2016,New York City,Furniture
4/8/2016,New York City,Office Supplies
4/8/2016,New York City,Office Supplies
4/8/2016,New York City,Office Supplies
4/23/2016,Charlotte,Office Supplies
3/8/2017,Columbus,Office Supplies
3/8/2017,Columbus,Office Supplies
9/25/2017,New York City,Office Supplies
9/25/2017,New York City,Furniture
9/25/2017,New York City,Office Supplies
9/25/2017,New York City,Furniture
9/24/2014,San Francisco,Office Supplies
10/21/2016,Manchester,Office Supplies
10/21/2016,Manchester,Office Supplies
10/21/2016,Manchester,Office Supplies
10/21/2016,Manchester,Furniture
5/29/2017,Harlingen,Office Supplies
5/29/2017,Harlingen,Office Supplies
7/23/2014,Tucson,Office Supplies
7/23/2014,Tucson,Technology
7/23/2014,Tucson,Office Supplies
7/23/2014,Tucson,Technology
9/28/2016,Quincy,Office Supplies
8/27/2017,Franklin,Furniture
4/28/2015,Houston,Office Supplies
4/28/2015,Houston,Office Supplies
4/28/2015,Houston,Office Supplies
10/28/2016,San Francisco,Office Supplies
10/28/2016,San Francisco,Office Supplies
6/26/2015,Taylor,Technology
11/27/2015,Pembroke Pines,Furniture
11/27/2015,Pembroke Pines,Technology
12/3/2015,Philadelphia,Technology
12/3/2015,Philadelphia,Furniture
11/24/2014,Cincinnati,Office Supplies
12/11/2017,New York City,Office Supplies
12/11/2017,New York City,Technology
9/21/2014,Des Moines,Technology
9/21/2014,Des Moines,Technology
6/7/2014,Peoria,Office Supplies
6/30/2017,Las Vegas,Office Supplies
10/17/2017,Warwick,Office Supplies
10/17/2017,Warwick,Office Supplies
10/31/2015,Jackson,Office Supplies
9/8/2016,Houston,Office Supplies
9/8/2016,Houston,Furniture
9/8/2016,Houston,Office Supplies
9/8/2016,Houston,Technology
12/24/2014,Miami,Office Supplies
4/16/2014,Wilmington,Office Supplies
12/24/2017,New York City,Office Supplies
12/8/2017,San Francisco,Technology
12/8/2017,San Francisco,Technology
12/8/2017,San Francisco,Office Supplies
12/8/2017,San Francisco,Furniture
12/8/2017,San Francisco,Office Supplies
12/8/2017,San Francisco,Office Supplies
12/8/2017,San Francisco,Office Supplies
12/8/2017,San Francisco,Furniture
12/8/2017,San Francisco,Furniture
11/3/2017,Seattle,Office Supplies
11/3/2017,Seattle,Furniture
6/24/2017,Huntington Beach,Office Supplies
4/14/2016,Los Angeles,Furniture
11/6/2017,Richmond,Office Supplies
3/4/2017,Los Angeles,Office Supplies
3/4/2017,Los Angeles,Office Supplies
6/22/2014,Louisville,Technology
10/19/2017,Lawrence,Furniture
10/19/2017,Lawrence,Office Supplies
8/21/2017,Jackson,Furniture
11/23/2017,Canton,Furniture
11/23/2017,Canton,Office Supplies
9/12/2014,New Rochelle,Technology
10/1/2017,San Antonio,Office Supplies
4/15/2016,Gastonia,Office Supplies
4/15/2016,Gastonia,Technology
4/15/2016,Gastonia,Technology
4/15/2016,Gastonia,Office Supplies
6/6/2016,Lowell,Office Supplies
12/19/2014,Jacksonville,Office Supplies
12/19/2014,Jacksonville,Technology
6/12/2016,Chicago,Technology
6/12/2016,Chicago,Office Supplies
9/15/2017,Houston,Office Supplies
1/20/2017,New York City,Furniture
9/5/2016,Detroit,Furniture
9/5/2016,Detroit,Office Supplies
9/5/2016,Detroit,Office Supplies
9/5/2016,Detroit,Office Supplies
9/5/2016,Detroit,Furniture
9/5/2016,Detroit,Office Supplies
3/20/2017,Columbus,Furniture
4/1/2016,Auburn,Office Supplies
4/1/2016,Auburn,Office Supplies
4/1/2016,Auburn,Office Supplies
4/1/2016,Auburn,Office Supplies
4/1/2016,Auburn,Office Supplies
4/1/2016,Auburn,Technology
10/20/2017,Akron,Furniture
10/20/2017,Akron,Office Supplies
12/13/2016,Norman,Technology
2/12/2014,Concord,Furniture
9/26/2016,Decatur,Furniture
9/26/2016,Decatur,Office Supplies
12/15/2015,Seattle,Office Supplies
12/15/2015,Seattle,Technology
12/15/2015,Seattle,Office Supplies
4/22/2016,Phoenix,Furniture
4/22/2016,Phoenix,Furniture
4/22/2016,Phoenix,Office Supplies
4/22/2016,Phoenix,Office Supplies
4/22/2016,Phoenix,Office Supplies
1/17/2015,Park Ridge,Furniture
3/31/2017,Amarillo,Furniture
12/16/2016,Chicago,Office Supplies
12/20/2015,Lindenhurst,Office Supplies
11/9/2014,San Francisco,Office Supplies
11/9/2014,San Francisco,Furniture
11/9/2014,San Francisco,Technology
11/9/2014,San Francisco,Office Supplies
11/9/2014,San Francisco,Office Supplies
11/9/2014,San Francisco,Office Supplies
7/12/2016,Los Angeles,Technology
10/27/2016,Troy,Furniture
6/26/2016,New York City,Office Supplies
6/26/2016,New York City,Office Supplies
10/6/2014,San Diego,Technology
7/22/2014,New York City,Office Supplies
7/22/2014,New York City,Technology
6/10/2017,Los Angeles,Office Supplies
6/10/2017,Los Angeles,Furniture
6/10/2017,Los Angeles,Technology
10/29/2014,Chicago,Technology
6/9/2014,Huntsville,Technology
6/9/2014,Huntsville,Technology
6/9/2014,Huntsville,Office Supplies
9/14/2014,Rochester,Office Supplies
9/14/2014,Rochester,Office Supplies
5/9/2016,Seattle,Technology
3/18/2016,Memphis,Furniture
12/27/2015,Fayetteville,Office Supplies
7/25/2016,Costa Mesa,Office Supplies
7/25/2016,Costa Mesa,Furniture
7/25/2016,Costa Mesa,Furniture
7/25/2016,Costa Mesa,Furniture
5/30/2016,Parker,Office Supplies
5/30/2016,Parker,Office Supplies
5/30/2016,Parker,Furniture
5/30/2016,Parker,Office Supplies
5/30/2016,Parker,Office Supplies
11/12/2017,New York City,Office Supplies
3/16/2015,Atlanta,Office Supplies
3/16/2015,Atlanta,Office Supplies
3/16/2015,Atlanta,Office Supplies
3/16/2015,Atlanta,Office Supplies
11/26/2017,Gladstone,Furniture
11/26/2017,Gladstone,Technology
10/20/2016,Newark,Office Supplies
12/21/2017,Los Angeles,Office Supplies
12/21/2017,Los Angeles,Office Supplies
1/22/2017,Great Falls,Technology
1/22/2017,Great Falls,Office Supplies
1/22/2017,Great Falls,Office Supplies
1/22/2017,Great Falls,Office Supplies
3/22/2015,Houston,Technology
3/22/2015,Houston,Office Supplies
3/22/2015,Houston,Office Supplies
1/23/2017,Detroit,Furniture
5/21/2016,Los Angeles,Technology
5/21/2016,Los Angeles,Technology
12/26/2015,Lawrence,Office Supplies
10/21/2017,Lakeland,Furniture
10/21/2017,Lakeland,Furniture
9/3/2015,Philadelphia,Office Supplies
9/3/2015,Philadelphia,Office Supplies
9/3/2015,Philadelphia,Office Supplies
11/7/2015,Los Angeles,Furniture
9/7/2017,Los Angeles,Furniture
5/29/2016,Montgomery,Technology
5/29/2016,Montgomery,Office Supplies
7/10/2016,Mesa,Office Supplies
9/3/2017,Chicago,Office Supplies
12/3/2015,New York City,Office Supplies
12/7/2015,Henderson,Office Supplies
12/7/2015,Henderson,Furniture
2/1/2014,Green Bay,Technology
7/14/2016,Tucson,Technology
12/18/2015,Springfield,Office Supplies
5/11/2014,Fort Worth,Technology
5/11/2014,Fort Worth,Technology
5/11/2014,Fort Worth,Furniture
11/19/2017,New York City,Office Supplies
11/19/2017,New York City,Office Supplies
11/15/2015,Chicago,Office Supplies
11/15/2015,Chicago,Office Supplies
11/15/2015,Chicago,Office Supplies
4/15/2016,San Francisco,Furniture
9/11/2017,Jacksonville,Furniture
11/24/2017,Houston,Office Supplies
6/29/2017,Anaheim,Office Supplies
3/3/2014,Wilmington,Office Supplies
6/10/2016,Los Angeles,Office Supplies
6/10/2016,Los Angeles,Furniture
6/10/2016,Los Angeles,Office Supplies
11/20/2017,San Francisco,Furniture
11/20/2017,San Francisco,Office Supplies
9/14/2014,Tampa,Office Supplies
9/14/2014,Tampa,Furniture
12/7/2015,Seattle,Office Supplies
12/7/2015,Seattle,Office Supplies
12/7/2017,Los Angeles,Technology
10/1/2017,Seattle,Office Supplies
10/1/2017,Seattle,Office Supplies
10/1/2017,Seattle,Office Supplies
10/1/2017,Seattle,Furniture
12/28/2017,New York City,Office Supplies
12/28/2017,New York City,Office Supplies
12/28/2017,New York City,Office Supplies
12/28/2017,New York City,Technology
11/3/2016,Marysville,Office Supplies
9/18/2015,Long Beach,Office Supplies
9/18/2015,Long Beach,Office Supplies
9/18/2015,Long Beach,Office Supplies
7/20/2017,Chicago,Office Supplies
7/20/2017,Chicago,Furniture
9/10/2015,Los Angeles,Office Supplies
12/1/2017,Denver,Technology
12/1/2017,Denver,Technology
12/1/2017,Denver,Office Supplies
12/1/2017,Denver,Office Supplies
12/1/2017,Denver,Technology
7/3/2015,Richmond,Furniture
7/3/2015,Richmond,Office Supplies
3/20/2016,Salem,Technology
3/20/2016,Salem,Office Supplies
3/20/2016,Salem,Office Supplies
3/20/2016,Salem,Office Supplies
1/9/2014,Laredo,Office Supplies
1/9/2014,Laredo,Technology
8/8/2014,San Diego,Office Supplies
8/8/2014,San Diego,Technology
8/8/2014,San Diego,Technology
8/8/2014,San Diego,Furniture
7/14/2016,Philadelphia,Office Supplies
7/16/2016,Philadelphia,Technology
7/16/2016,Philadelphia,Technology
7/16/2016,Philadelphia,Office Supplies
3/15/2014,Tampa,Office Supplies
3/15/2014,Tampa,Furniture
3/15/2014,Tampa,Office Supplies
3/15/2014,Tampa,Office Supplies
3/15/2014,Tampa,Office Supplies
5/23/2014,Philadelphia,Office Supplies
5/23/2014,Philadelphia,Office Supplies
5/23/2014,Philadelphia,Technology
4/28/2016,Dallas,Technology
4/28/2016,Dallas,Office Supplies
9/11/2016,Philadelphia,Office Supplies
9/11/2016,Philadelphia,Technology
11/14/2017,Grove City,Technology
11/14/2017,Grove City,Office Supplies
8/18/2017,New York City,Furniture
8/18/2017,New York City,Furniture
8/18/2017,New York City,Office Supplies
8/18/2017,New York City,Technology
8/18/2017,New York City,Furniture
12/26/2014,Chicago,Office Supplies
11/29/2015,Dearborn,Furniture
11/29/2015,Dearborn,Office Supplies
11/29/2015,Dearborn,Office Supplies
11/29/2015,Dearborn,Office Supplies
9/15/2017,New York City,Furniture
5/19/2017,Seattle,Office Supplies
12/17/2017,San Francisco,Office Supplies
12/17/2017,San Francisco,Office Supplies
12/11/2016,Aurora,Office Supplies
12/11/2016,Aurora,Technology
12/11/2016,Aurora,Technology
9/24/2017,Miami,Technology
9/24/2017,Miami,Office Supplies
10/4/2015,Warner Robins,Furniture
8/15/2016,Aurora,Office Supplies
8/15/2016,Aurora,Office Supplies
5/20/2016,Vallejo,Furniture
5/20/2016,Vallejo,Office Supplies
12/18/2016,Minneapolis,Furniture
7/30/2017,Mission Viejo,Office Supplies
7/30/2017,Mission Viejo,Office Supplies
6/10/2017,Rochester Hills,Technology
7/21/2017,Plainfield,Office Supplies
12/30/2017,Columbus,Office Supplies
4/1/2016,Sierra Vista,Office Supplies
4/1/2016,Sierra Vista,Office Supplies
12/11/2016,Vancouver,Furniture
12/11/2016,Vancouver,Technology
12/11/2016,Vancouver,Technology
10/23/2016,New York City,Office Supplies
6/19/2017,New York City,Office Supplies
6/19/2017,New York City,Technology
8/22/2016,Columbus,Office Supplies
8/22/2016,Columbus,Office Supplies
8/22/2016,Columbus,Office Supplies
9/19/2016,Aurora,Furniture
9/19/2016,Aurora,Office Supplies
8/24/2015,Arlington,Office Supplies
8/24/2015,Arlington,Office Supplies
8/24/2015,Arlington,Furniture
8/24/2015,Arlington,Office Supplies
3/26/2016,New York City,Office Supplies
11/4/2016,Louisville,Office Supplies
6/8/2017,Dallas,Office Supplies
6/8/2017,Dallas,Office Supplies
6/8/2017,Dallas,Technology
12/24/2014,Cleveland,Furniture
6/9/2017,Chicago,Furniture
6/9/2017,Chicago,Furniture
6/9/2017,Chicago,Office Supplies
6/15/2017,Quincy,Office Supplies
12/5/2017,Columbus,Office Supplies
12/5/2017,Columbus,Office Supplies
12/5/2017,Columbus,Technology
3/18/2017,Tyler,Office Supplies
3/18/2017,Tyler,Technology
3/18/2017,Tyler,Furniture
3/18/2017,Tyler,Office Supplies
11/19/2016,New York City,Office Supplies
11/19/2016,New York City,Office Supplies
11/19/2016,New York City,Office Supplies
11/4/2017,Burlington,Technology
11/4/2017,Burlington,Office Supplies
7/5/2014,Jackson,Technology
7/5/2014,Jackson,Office Supplies
7/5/2014,Jackson,Office Supplies
12/25/2017,New York City,Furniture
6/21/2014,Waynesboro,Furniture
6/21/2014,Waynesboro,Technology
6/21/2014,Waynesboro,Office Supplies
3/28/2015,Los Angeles,Technology
3/28/2015,Los Angeles,Office Supplies
5/14/2015,Chester,Office Supplies
5/14/2015,Chester,Office Supplies
5/14/2015,Chester,Office Supplies
5/14/2015,Chester,Office Supplies
5/14/2015,Chester,Office Supplies
5/14/2015,Chester,Office Supplies
5/14/2015,Chester,Office Supplies
9/2/2017,Cleveland,Furniture
11/4/2016,Seattle,Furniture
4/9/2015,Long Beach,Furniture
9/12/2014,Cary,Office Supplies
9/12/2014,Cary,Office Supplies
9/12/2014,Cary,Technology
12/2/2014,New York City,Technology
12/2/2014,New York City,Furniture
12/2/2014,New York City,Office Supplies
4/5/2014,New York City,Office Supplies
9/3/2017,Palm Coast,Office Supplies
5/19/2017,Mount Vernon,Office Supplies
5/19/2017,Mount Vernon,Technology
5/19/2017,Mount Vernon,Technology
7/1/2014,Seattle,Office Supplies
1/11/2014,Dover,Furniture
9/24/2017,Newark,Furniture
6/2/2014,Orem,Office Supplies
6/2/2014,Orem,Furniture
2/13/2016,Los Angeles,Office Supplies
12/15/2016,Detroit,Furniture
12/15/2016,Detroit,Office Supplies
10/7/2014,Philadelphia,Furniture
7/7/2016,Hialeah,Office Supplies
9/16/2017,Austin,Office Supplies
9/16/2017,Austin,Technology
12/3/2016,Oceanside,Office Supplies
12/3/2016,Oceanside,Furniture
12/3/2016,Oceanside,Office Supplies
12/3/2016,Oceanside,Furniture
12/3/2016,Oceanside,Office Supplies
1/21/2017,Seattle,Office Supplies
1/21/2017,Seattle,Technology
1/21/2017,Seattle,Office Supplies
1/21/2017,Seattle,Office Supplies
1/21/2017,Seattle,Furniture
1/21/2017,Seattle,Office Supplies
9/8/2014,San Francisco,Technology
1/4/2014,Naperville,Office Supplies
1/4/2014,Naperville,Office Supplies
1/4/2014,Naperville,Office Supplies
8/27/2016,Dallas,Office Supplies
8/27/2016,Dallas,Office Supplies
8/27/2016,Dallas,Office Supplies
8/27/2016,Dallas,Office Supplies
5/27/2014,San Diego,Furniture
5/27/2014,San Diego,Office Supplies
3/20/2016,Evanston,Technology
10/2/2017,Trenton,Office Supplies
10/2/2017,Trenton,Furniture
10/2/2017,Trenton,Office Supplies
10/2/2017,Trenton,Office Supplies
4/7/2016,San Francisco,Technology
12/7/2015,Los Angeles,Furniture
9/18/2016,Jacksonville,Furniture
12/29/2014,Cottage Grove,Office Supplies
12/29/2014,Cottage Grove,Technology
